Iteration,0,1,2,3,4,5,6,7,8,9
611,32,34,42,24,20,32,42,34,40,22
612,27,25,45,27,27,25,43,39,33,31
613,25,19,23,35,31,45,23,27,31,31
614,43,29,41,33,19,33,31,33,37,25
615,29,31,41,41,27,27,23,33,29,35
616,18,36,30,22,18,22,28,16,20,18
617,28,50,44,34,22,50,52,28,48,46
618,45,33,29,49,33,33,29,29,29,33
619,27,41,39,33,29,37,31,41,39,33
620,43,25,23,25,23,33,21,31,29,27
621,37,27,25,39,23,27,25,23,27,21
622,34,28,52,28,30,36,38,34,44,32
623,40,38,42,36,28,34,36,42,48,32
624,34,24,48,32,36,38,18,38,40,24
625,59,29,43,35,41,39,39,35,35,29
626,39,23,35,37,19,53,39,37,37,29
627,37,55,41,29,45,51,49,27,37,31
628,41,31,19,31,27,27,31,27,27,39
629,22,26,30,26,30,24,38,22,22,32
630,45,41,35,37,35,27,47,35,35,35
