Iteration,0,1,2,3,4,5,6,7,8,9,10
546,29,33,35,21,27,29,33,33,45,23,25
547,18,20,18,20,38,20,26,28,20,16,20
548,13,15,17,13,21,17,17,11,21,13,19
549,27,27,11,17,33,17,19,25,15,13,17
550,54,32,38,26,22,20,28,30,32,24,36
551,40,14,18,18,16,22,20,14,18,10,10
552,20,20,22,26,32,24,16,24,24,22,16
553,18,8,8,8,16,6,8,10,8,12,10
554,32,20,20,22,18,14,20,44,18,10,24
555,16,20,16,22,14,26,16,30,22,24,22
556,37,27,29,27,43,29,27,23,45,25,27
557,46,18,38,24,28,34,28,34,32,26,38
558,17,21,37,21,23,33,21,25,19,31,19
559,29,33,19,23,21,23,23,21,19,17,23
560,10,16,12,12,12,10,14,40,14,10,18
561,15,15,11,13,21,15,21,31,15,17,21
562,55,25,29,35,33,23,23,41,25,21,27
563,34,18,26,26,26,28,26,26,18,22,18
564,21,19,23,27,37,17,21,17,25,15,19
565,23,13,19,23,25,13,27,21,19,15,17
566,30,24,26,32,34,28,30,22,22,26,34
567,36,26,28,22,28,24,26,26,20,24,32
568,35,21,21,17,19,19,29,25,27,23,25
569,38,24,28,18,28,20,28,38,20,18,18
570,25,13,15,21,21,15,27,37,23,15,19
571,24,24,20,18,28,20,20,18,24,18,32
572,24,16,12,30,18,12,16,32,16,14,30
573,28,16,14,16,18,22,14,22,14,18,14
574,16,14,18,32,28,26,22,30,24,22,24
575,16,20,16,16,22,24,24,36,14,24,18
576,21,21,17,25,15,13,19,27,19,23,23
577,31,25,23,27,25,15,23,39,29,31,27
