Iteration,0,1,2,3,4,5,6,7,8,9
328,1,2,2,2,2,2,2,2,2,2
329,4,3,4,5,5,3,5,5,5,5
330,3,3,2,1,2,1,3,2,1,3
331,1,2,2,2,1,2,2,1,2,1
332,3,3,2,3,3,2,1,3,2,3
333,2,1,2,1,2,2,1,1,2,2
334,1,1,1,1,1,1,1,1,1,1
335,1,1,1,1,1,1,1,1,1,1
336,2,3,3,2,3,1,1,1,2,3
337,2,1,2,2,2,2,2,2,2,2
338,2,2,2,2,2,1,2,2,1,1
339,1,1,1,1,1,1,1,1,1,1
340,3,3,3,2,2,2,2,3,3,2
341,3,3,3,4,4,4,4,2,2,4
342,5,3,5,5,3,3,4,5,3,3
343,5,4,3,5,5,3,5,4,4,3
344,2,2,3,3,1,3,3,2,3,1
345,1,1,1,1,1,1,1,1,1,1
346,3,5,5,4,1,5,5,5,4,4
347,1,1,1,1,1,1,1,1,1,1
348,3,2,3,3,3,3,2,2,2,3
349,2,2,2,2,2,1,2,1,2,1
350,1,1,1,1,1,1,1,1,1,1
351,1,2,2,1,2,1,2,2,2,2
352,3,1,3,2,3,2,3,2,2,3
353,1,1,1,1,1,1,1,1,1,1
354,2,3,2,2,3,2,3,3,3,1
355,3,2,1,3,3,3,3,3,1,3
356,1,1,2,2,1,1,2,1,1,2
357,1,2,2,1,2,2,2,1,2,1
358,2,2,2,1,1,2,1,2,2,2
359,1,1,1,1,1,1,1,1,1,1
360,2,3,3,2,3,1,2,3,3,1
361,3,1,3,1,3,2,3,2,3,3
362,1,1,1,1,1,1,1,1,1,1
363,5,5,4,5,8,7,4,4,4,4
364,3,3,3,2,3,3,3,3,3,2
365,5,5,3,4,5,4,4,7,3,3
366,2,3,3,3,2,3,3,1,3,3
367,2,4,4,4,3,3,2,2,2,3
368,4,4,5,3,5,2,5,3,3,5
369,1,1,1,1,1,1,1,1,1,1
370,4,4,3,2,4,4,4,3,4,4
371,1,1,1,1,1,1,1,1,1,1
372,5,4,4,2,3,4,3,3,2,2
373,3,3,3,3,3,3,2,1,3,2
374,3,2,4,2,4,4,4,3,4,4
375,2,1,2,2,2,2,2,2,2,2
376,3,3,3,3,2,3,3,3,2,2
377,3,3,3,2,1,2,1,2,1,3
378,2,1,2,2,2,2,1,2,2,1
379,2,2,2,1,2,1,1,1,2,2
380,2,2,2,2,2,2,2,2,2,2
381,4,2,3,4,4,2,2,2,4,4
382,1,3,1,3,3,2,3,2,3,3
383,4,8,4,4,5,5,5,5,3,4
384,2,2,2,2,2,2,2,2,2,2
385,2,3,3,1,2,3,2,1,3,2
386,2,2,2,2,2,1,2,1,2,1
387,2,3,2,2,3,3,2,2,3,3
388,3,1,1,3,1,3,1,2,3,2
389,2,1,2,2,1,1,2,2,2,2
390,1,1,1,2,2,2,1,1,1,1
391,3,2,1,3,3,1,3,1,1,3
392,3,3,1,3,3,1,3,3,1,3
393,2,2,2,1,2,2,2,2,1,2
394,4,2,4,4,3,3,4,4,3,4
395,1,1,1,1,1,1,1,1,1,1
396,1,1,1,1,1,1,1,1,1,1
397,4,4,4,4,4,5,4,5,5,4
398,2,2,2,2,2,2,2,2,2,2
399,2,2,3,1,1,1,3,3,3,3
400,1,2,1,1,1,2,1,2,2,2
401,1,1,1,1,1,1,1,1,1,1
402,1,1,2,3,2,3,3,3,2,3
403,1,1,1,1,1,1,1,1,1,1
404,1,1,1,1,1,1,1,1,1,1
405,2,2,2,2,1,1,2,2,2,2
406,1,3,3,2,3,2,2,2,3,3
407,1,1,1,1,1,1,1,1,1,1
408,1,1,1,1,1,1,1,1,1,1
409,1,1,1,1,1,1,1,1,1,1
410,1,1,1,1,1,1,1,1,1,1
411,1,3,3,1,2,3,3,2,1,3
412,2,2,2,1,3,3,3,3,3,1
413,1,2,2,2,2,2,1,1,1,2
414,2,2,2,2,2,2,2,2,2,2
415,2,2,3,3,3,3,2,3,3,2
416,4,5,5,4,4,3,4,5,4,3
417,1,1,1,1,1,1,1,1,1,1
418,1,1,1,1,1,1,1,1,1,1
419,2,2,2,2,2,2,2,1,1,1
420,5,3,4,4,3,5,5,3,5,5
421,3,3,2,3,2,3,2,3,1,1
422,1,3,3,1,1,1,2,3,3,1
423,3,3,3,1,1,1,3,3,3,1
424,2,4,4,4,4,3,4,4,5,3
425,1,2,1,3,2,3,2,3,1,3
426,4,1,1,4,4,4,2,2,3,1
427,3,1,3,1,2,3,2,2,3,3
428,3,2,2,2,3,3,3,2,3,2
429,2,1,1,1,2,2,2,2,1,2
430,3,3,3,3,3,3,3,3,3,3
431,1,1,2,2,2,2,2,2,1,2
432,3,1,3,3,2,1,3,3,1,1
433,1,1,1,1,1,1,1,1,1,1
434,3,5,5,3,3,5,5,3,3,4
435,1,2,1,1,2,2,2,2,2,1
436,2,3,3,2,3,3,2,2,2,3
437,2,2,2,1,2,2,1,1,2,2
438,3,4,4,3,5,4,3,2,3,4
439,1,3,1,2,3,2,3,3,4,2
440,1,1,1,1,1,1,1,1,1,1
441,2,2,2,2,2,2,2,2,2,2
442,2,2,2,2,2,2,2,2,2,2
443,4,4,5,5,4,4,3,4,3,4
444,2,2,2,2,2,2,2,2,2,2
445,1,1,1,1,1,1,1,1,1,1
446,1,1,1,1,1,1,1,1,1,1
447,1,1,1,1,1,1,1,1,1,1
448,2,3,3,2,3,3,3,2,2,2
449,1,1,1,1,1,1,1,1,1,1
450,3,1,2,3,1,1,1,1,3,2
451,5,4,7,8,3,5,3,4,4,3
452,1,2,3,2,3,3,1,2,2,2
453,1,2,2,2,2,2,2,2,2,1
454,1,3,4,3,4,4,2,1,4,2
455,1,1,2,2,1,2,2,2,2,2
456,1,1,1,1,2,2,1,3,2,2
457,4,4,3,2,4,1,3,4,1,3
458,2,2,1,2,2,1,1,2,2,2
459,2,2,2,2,2,1,2,1,1,2
460,2,2,1,1,1,2,2,1,2,2
461,4,2,4,3,3,4,3,4,4,2
462,4,4,4,4,2,4,2,4,2,3
463,1,1,1,1,1,1,1,1,1,1
464,2,2,2,2,2,2,2,2,2,2
465,1,1,1,1,1,1,1,1,1,1
466,2,1,2,1,2,1,1,1,2,2
467,1,1,1,1,1,1,1,1,1,1
468,1,1,1,1,1,1,1,1,1,1
469,2,1,1,1,2,2,2,1,1,2
470,1,1,1,1,1,1,1,1,1,1
471,2,2,2,1,1,2,1,2,2,2
472,2,3,3,3,1,2,3,3,3,3
473,4,2,4,3,1,1,3,1,1,1
474,3,3,3,1,3,1,3,3,1,3
475,3,1,1,3,3,1,3,3,1,1
476,3,2,3,2,1,3,1,1,2,3
477,2,2,2,2,2,2,1,2,2,2
478,1,1,1,1,1,1,1,1,1,1
479,2,2,1,2,2,2,2,2,2,2
480,1,1,1,1,1,1,1,1,1,1
481,3,4,5,5,2,3,4,5,3,5
482,1,1,1,1,1,1,1,1,1,1
483,3,2,3,2,4,4,4,2,2,3
484,1,1,1,1,1,1,1,1,1,1
485,1,1,1,1,1,1,1,1,1,1
486,1,1,1,1,1,1,1,1,1,1
487,1,1,1,1,1,1,1,1,1,1
488,1,1,2,2,2,1,1,2,2,2
489,2,2,1,1,2,1,2,2,2,2
490,1,2,2,2,2,2,2,2,1,2
491,1,1,2,1,2,2,2,2,2,2
492,3,3,3,2,2,1,3,2,3,3
493,1,1,1,1,1,1,1,1,1,1
494,2,3,3,3,3,2,2,3,2,3
495,1,1,1,1,1,1,1,1,1,1
496,2,2,3,3,3,1,1,3,3,3
497,3,3,3,3,3,2,2,3,1,2
498,2,2,2,2,2,2,1,2,2,1
499,1,3,3,2,3,2,2,3,1,2
500,3,3,1,1,3,3,2,1,1,1
501,1,1,1,1,1,1,1,1,1,1
502,4,3,2,4,2,4,4,3,3,3
503,3,2,2,3,3,3,2,3,2,3
504,1,2,1,1,2,1,2,2,2,2
505,1,2,1,2,2,2,2,1,1,2
506,2,2,2,2,1,1,2,2,2,2
507,3,4,2,2,4,2,1,4,4,1
508,2,2,2,2,2,2,2,2,2,2
509,2,2,2,2,2,2,1,1,1,2
510,2,2,2,2,2,2,2,2,2,2
511,2,2,2,2,2,1,2,1,1,2
512,3,3,1,1,3,3,3,3,1,2
513,2,2,2,2,2,2,2,2,2,2
514,2,2,2,2,2,2,2,1,1,2
515,2,2,2,2,1,2,2,1,1,1
516,2,1,3,3,1,3,2,1,2,2
517,2,3,1,3,2,3,3,3,2,1
518,1,1,1,1,1,1,1,1,1,1
519,1,1,1,1,1,1,1,1,1,1
520,1,1,1,1,1,1,1,1,1,1
521,2,2,1,1,1,1,2,2,2,2
522,1,2,1,1,2,1,2,2,2,2
523,1,1,1,1,1,1,1,1,1,1
524,1,1,1,1,1,1,1,1,1,1
